ip,location
192.168.0.86,Apple,camera,
1.1.1.1,CITYU,camera1,
1.1.1.2,CITYU,camera2,
1.1.1.3,CITYU,camera3,
1.1.1.4,CITYU,camera4,
1.1.1.5,CITYU,camera5,
1.1.1.6,CITYU,camera6,
1.1.1.7,CITYU,camera7,
1.1.1.8,CITYU,camera8,
1.1.2.1,HKU,camera1,
1.1.2.2,HKU,camera2,
1.1.2.3,HKU,camera3,
1.1.2.4,HKU,camera4,
1.1.2.5,HKU,camera5,
1.1.2.6,HKU,camera6,
1.1.2.7,HKU,camera7,
1.1.2.8,HKU,camera8,
1.1.3.1,POLYU,camera1,
1.1.3.2,POLYU,camera2,
1.1.3.3,POLYU,camera3,
1.1.3.4,POLYU,camera4,
1.1.3.5,POLYU,camera5,
1.1.3.6,POLYU,camera6,
1.1.3.7,POLYU,camera7,
1.1.3.8,POLYU,camera8,
1.1.4.1,HKCU,camera1,
1.1.4.2,HKCU,camera2,
1.1.4.3,HKCU,camera3,
1.1.4.4,HKCU,camera4,
1.1.4.5,HKCU,camera5,
1.1.4.6,HKCU,camera6,
1.1.4.7,HKCU,camera7,
1.1.4.8,HKCU,camera8,
1.1.5.1,HKOU,camera1,
1.1.5.2,HKOU,camera2,
1.1.5.3,HKOU,camera3,
1.1.5.4,HKOU,camera4,
1.1.5.5,HKOU,camera5,
1.1.5.6,HKOU,camera6,
1.1.5.7,HKOU,camera7,
1.1.6.8,HKOU,camera8,
1.1.6.1,HKBU,camera1,
1.1.6.2,HKBU,camera2,
1.1.6.3,HKBU,camera3,
1.1.6.4,HKBU,camera4,
1.1.6.5,HKBU,camera5,
1.1.6.6,HKBU,camera6,
1.1.6.7,HKBU,camera7,
1.1.6.8,HKBU,camera8,
